Username,Content,translated_experience,lowercased,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
erykah___,Long distance is so hard. I'm in one right now and we live on different continents. But if the love is there it CAN work if the you have a plan to close the gap.,Long distance is so hard. I'm in one right now and we live on different continents. But if the love is there it CAN work if the you have a plan to close the gap.,long distance is so hard. i'm in one right now and we live on different continents. but if the love is there it can work if the you have a plan to close the gap.,long distance is so hard. i'm in one right now and we live on different continents. but if the love is there it can work if the you have a plan to close the gap.,long distance is so hard. i'm in one right now and we live on different continents. but if the love is there it can work if the you have a plan to close the gap.,long distance is so hard. i am in one right now and we live on different continents. but if the love is there it can work if the you have a plan to close the gap.,long distance is so hard i am in one right now and we live on different continents but if the love is there it can work if the you have a plan to close the gap,long distance is so hard i am in one right now and we live on different continents but if the love is there it can work if the you have a plan to close the gap,long distance is so hard i am in one right now and we live on different continents but if the love is there it can work if the you have a plan to close the gap,long distance hard one right live different continents love work plan close gap,long distanc hard one right live differ contin love work plan close gap,long distance hard one right live different continent love work plan close gap
yungtrin,long distance is horrendous if you don't have the same attachment style,long distance is horrendous if you don't have the same attachment style,long distance is horrendous if you don't have the same attachment style,long distance is horrendous if you don't have the same attachment style,long distance is horrendous if you don't have the same attachment style,long distance is horrendous if you do not have the same attachment style,long distance is horrendous if you do not have the same attachment style,long distance is horrendous if you do not have the same attachment style,long distance is horrendous if you do not have the same attachment style,long distance horrendous attachment style,long distanc horrend attach style,long distance horrendous attachment style
amoiursvff,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must ???? even we are not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??,yes yes communicate is a must  even we are not really ldr and jarang jumpa we never stop communicate bcs he know i hate being alone ,yes yes communicate is a must  even we are not really ldr and jarang jumpa we never stop communicate bcs he know i hate being alone ,yes yes communicate is a must even we are not really ldr and japan jump we never stop communicate bcs he know i hate being alone,yes yes communicate must even really ldr japan jump never stop communicate bcs know hate alone,ye ye commun must even realli ldr japan jump never stop commun bc know hate alon,yes yes communicate must even really ldr japan jump never stop communicate bcs know hate alone
smolleyaa,Ldr is very ok if dua2 trust each other & tahu hala tuju ??,Ldr is very ok if dua2 trust each other & tahu hala tuju ??,ldr is very ok if dua2 trust each other & tahu hala tuju ??,ldr is very ok if dua2 trust each other & tahu hala tuju ??,ldr is very ok if dua2 trust each other & tahu hala tuju ??,ldr is very ok if dua2 trust each other & tahu hala tuju ??,ldr is very ok if dua2 trust each other  tahu hala tuju ,ldr is very ok if dua trust each other  tahu hala tuju ,ldr is very ok if dua trust each other tau half turn,ldr ok dua trust tau half turn,ldr ok dua trust tau half turn,ldr ok dua trust tau half turn
anu12.25.24,"just 3 months long distance relationship,,,, but I feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage","just 3 months long distance relationship,,,, but I feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage","just 3 months long distance relationship,,,, but i feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage","just 3 months long distance relationship,,,, but i feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage","just 3 months long distance relationship,,,, but i feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage","just 3 months long distance relationship,,,, but i feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage",just 3 months long distance relationship but i feel like 3 years relationship  that is so different feel  but in relationships we must keep understand first than u can go until marriage,just  months long distance relationship but i feel like  years relationship  that is so different feel  but in relationships we must keep understand first than u can go until marriage,just months long distance relationship but i feel like years relationship that is so different feel but in relationships we must keep understand first than u can go until marriage,months long distance relationship feel like years relationship different feel relationships must keep understand first u go marriage,month long distanc relationship feel like year relationship differ feel relationship must keep understand first u go marriag,month long distance relationship feel like year relationship different feel relationship must keep understand first u go marriage
elyrastudio.co," When it's the right person, distance doesn't feel like waiting it feels like building something worth coming home to.","When it's the right person, distance doesn't feel like waiting it feels like building something worth coming home to.","when it's the right person, distance doesn't feel like waiting it feels like building something worth coming home to.","when it's the right person, distance doesn't feel like waiting it feels like building something worth coming home to.","when it's the right person, distance doesn't feel like waiting it feels like building something worth coming home to.","when it is the right person, distance does not feel like waiting it feels like building something worth coming home to.",when it is the right person distance does not feel like waiting it feels like building something worth coming home to,when it is the right person distance does not feel like waiting it feels like building something worth coming home to,when it is the right person distance does not feel like waiting it feels like building something worth coming home to,right person distance feel like waiting feels like building something worth coming home,right person distanc feel like wait feel like build someth worth come home,right person distance feel like wait feel like build something worth come home
yrrmyraa,bertahun ldr..sakit sangat bila kita perlukan dia tapi dia jauh..boleh cerita through phone saja..kalau dapat jumpa pun sekejap je lepastu ldr balik berbulan bulan :(,I dated for many years.. it hurts so much when we need him but he is far away.. we can just tell him through the phone.. if we can see him even for a moment then he will return for months :(,i dated for many years.. it hurts so much when we need him but he is far away.. we can just tell him through the phone.. if we can see him even for a moment then he will return for months :(,i dated for many years.. it hurts so much when we need him but he is far away.. we can just tell him through the phone.. if we can see him even for a moment then he will return for months :(,i dated for many years.. it hurts so much when we need him but he is far away.. we can just tell him through the phone.. if we can see him even for a moment then he will return for months :(,i dated for many years.. it hurts so much when we need him but he is far away.. we can just tell him through the phone.. if we can see him even for a moment then he will return for months :(,i dated for many years it hurts so much when we need him but he is far away we can just tell him through the phone if we can see him even for a moment then he will return for months ,i dated for many years it hurts so much when we need him but he is far away we can just tell him through the phone if we can see him even for a moment then he will return for months ,i dated for many years it hurts so much when we need him but he is far away we can just tell him through the phone if we can see him even for a moment then he will return for months,dated many years hurts much need far away tell phone see even moment return months,date mani year hurt much need far away tell phone see even moment return month,date many year hurt much need far away tell phone see even moment return month
aries110484,"Im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday I can't wait??","Im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday I can't wait??","im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday i can't wait??","im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday i can't wait??","im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday i can't wait??","im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday i cannot wait??",im in a long distance relationship for nine years been through good and badstarting was hard but now everything is worth itwe are getting married on my birthday i cannot wait,im in a long distance relationship for nine years been through good and badstarting was hard but now everything is worth itwe are getting married on my birthday i cannot wait,im in a long distance relationship for nine years been through good and badstarting was hard but now everything is worth ite are getting married on my birthday i cannot wait,im long distance relationship nine years good badstarting hard everything worth ite getting married birthday cannot wait,im long distanc relationship nine year good badstart hard everyth worth ite get marri birthday cannot wait,im long distance relationship nine year good badstarting hard everything worth ite get married birthday can not wait
cmurrell19,Long distance isn't for the weak,Long distance isn't for the weak,long distance isn't for the weak,long distance isn't for the weak,long distance isn't for the weak,long distance is not for the weak,long distance is not for the weak,long distance is not for the weak,long distance is not for the weak,long distance weak,long distanc weak,long distance weak
josefine24000,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??,just married my long distance boyfriend of 11 yearswe are still long distance tho 5000 km away,just married my long distance boyfriend of  yearswe are still long distance tho  km away,just married my long distance boyfriend of years are still long distance tho km away,married long distance boyfriend years still long distance tho km away,marri long distanc boyfriend year still long distanc tho km away,marry long distance boyfriend year still long distance tho km away
