Username,Content
erykah___,Long distance is so hard. I'm in one right now and we live on different continents. But if the love is there it CAN work if the you have a plan to close the gap.
yungtrin,long distance is horrendous if you don't have the same attachment style
amoiursvff,yes yes communicate is a must ???? even we're not really ldr and jarang jumpa. we never stop communicate bcs he know i hate being alone ??
smolleyaa,Ldr is very ok if dua2 trust each other & tahu hala tuju ??
anu12.25.24,"just 3 months long distance relationship,,,, but I feel like 3 years relationship ?????? that is so different feel ???? but in relationships we must keep understand first than u can go until marriage"
elyrastudio.co," When it's the right person, distance doesn't feel like waiting… it feels like building something worth coming home to."
yrrmyraa,bertahun ldr..sakit sangat bila kita perlukan dia tapi dia jauh..boleh cerita through phone saja..kalau dapat jumpa pun sekejap je lepastu ldr balik berbulan bulan :(
aries110484,"Im in a long distance relationship for nine years been through good and bad,starting was hard but now everything is worth it,we are getting married on my birthday I can't wait??"
cmurrell19,Long distance isn't for the weak
josefine24000,just married my long distance boyfriend of 11 years??we are still long distance tho... 5000 km away??
reenie1616," long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent LD"
lovehustle_diaries,"Long distance isn't for the weak. On my quiet days, I wish we didn't have to deal with time zones, missed calls, and empty hugs. I wish we could go on random dates, hold each other during rough days, or just exist side by side.But more than the ache of distance, I carry this bigger kind of love - the kind that still roots for you even when you're far away. I want to see you win, to be healthy, happy, and fulfilled. Because love isn't just about being together physically. It's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????"
elysegallagher21,I fear long distance just makes me more more independent and a girl boss but the moment I'm with him i know I'm taken care of and honestly it's the best
annnnna_c,Long distance ended my relationship ??
vesselsxx,"i was in a LDR for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a LDR, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell."
adelina1796,Long distance is the hardest but so so worth it!!! ??
onlinebookshelf_,Agreed!! I never thought I'd want an LDR but me and my bf fell in love and LDR makes our relationship deeper. I know his soul
piapatell22,The older daughter syndrome works well for long distance
tyjoshty,my long distance partner broke up with me yesterday and I feel empty
likahadii,"LDR isn't always hard, saling mengerti kalo sama2 punya tujuan, keperluan dan sama2 punya hal yang di lakukan, jadinya ga ada yang bosen yang malah jadinya tergantung sama yang lain"
shootaa_03," Thank god we only met once while long distance and that was the day I moved in,I couldn't imagine having to say goodbye to her"
jennyvillanueva.p,"Ldr is considered the highest standard of love devotion. Because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart"
anel.vanessa.1,"Here almost 7 years in long distance relationship, and we are getting married very soon ???"
jessie_xoxo22,"Honestly, it's the best relationship I've ever been in. We're 276 miles apart but soon to be closing that gap ??"
shalynstark,"this is so real omg (me and my bf are in a ldr) and yess omg i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??"
rvtt1ngboii,"in a long distance relationship currently, it IS hard but thats what makes it special when we see eachother. The moment i touch his skin i am instantly home again. ??"
kaylascutethings,"My boyfriend & I were long distance for two years, & now we're living together! It's so crazy to think back to all of the times I cried because I wanted to fast forward to this, & now I'm here ??"
agusdee_,"7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. No more goodbyes. ??????"
averynieto6,We did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and I miss him everyday I wasn believe that we can get back together but I know deep down it will never work
kacang_an,"ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. We can be clingy but at the same time be mature"
edr.xx,"aku ldr beda kota, perjalan cuma beda sejam tp pacarku org yg super sibuk, tp bnyk yg kaget klo kita bisa sampe ga chatan lebih dri sehari 2hri disaat ak ngrasa seneng pas dia sibuk aku bisa fokus"
paugarroo,wasted 4 years of my life in a LDR… never again!
xx.1004,"i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??"
user52829769682109374972,"Thankyou. As someone who's been long distance for 2 years and 8 months. Every goodbye hurts a bit more, but I'm grateful to take flights every 3-4 months to see each other. To have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. It'll be worth it."
angieandjohann,Been long distance for 1 year and 6 months and honestly .. it’s hard but goddamn it’s worth it .
lechuz.ane2,"2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second"
zo.silver,"Did 3 years long distance while I studied abroad, and it was hard (but I did come home for 3 months each summer) but if anything I think it made our relationship stronger! Next month is our first wedding anniversary ??"
jjjimenaaa,"It’s the hardest thing I’ve ever had to go through. Keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. But at the end of the day it’ll be hard. Allow yourself to cry and to feel the sadness. Tell him about it and let him comfort you. You don’t wanna go through the darkness alone."
mersadeslakelyn,"we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??"
bajablasturmom420,It's hard but if you TRULY love each other it'll work! My fiancé and I were long distance for over 3 years and now are living together happily engaged! We've been together over 4 years now and are getting married this year ?? it's hard but worth it!
