Username,Content
nurashrr,"Dua kali ldr, dua kali dicurangi. Hahh! Nasib saya memang tak baiklah kalau bab ldr nie"
miyaamooree,sometime it's hurt. sebab some people are really good at pretending. Nampak dalam chat macam ada kau sorang je tapi we'll never know sebab jauh kan
msmeoowwlah,"Rasa macam kau single??. Sebab lepas grad masing2 dah tanggungjawab and komitment. Dah tak boleh nak tumpu dekat kau je lagi. Sakit bila kau perlu dia, bila kau nak dekat dekat dia tapi tak dapat. Hati je kena kuat. Yang penting jujur. Kalau ada apa2 tak puas hati kita settle cara baik"
ChanDoenia,"LDR itu bukan 'true love', itu cuma simulasi jadi badut jarak jauh. Lo setia jaga komitmen, sementara dia di sana lagi 'jaga' perasaan orang lain yang lebih deket secara fisik. Cinta ga kenal jarak? Bullshit. Lo cuma investasi di hantu digital"
unknowngirl_231,"Gagal LDR di 1,7 tahun rasanya mau gila. Sedangkan dia baik2 saja sudah mendapatkan ganti di awal minggu kita putus dan sekarang sedang merayakan cinta barunya"
JatIkhwan,"Only those with pure hearts full of love je boleh ldr. Sebenarnya ldr ni tak boleh jadikan langsung alasan untuk break. Jahat. Obviously tak ada cinta dalam hati. But for those yang mampu overcome ldr, tahniah you found love in each other."
jesserock008,"You can try it, My wife and I were once in a LDR before we got married. As long as the goal is the same and both of you are well disciplined, I see no reason why it should be a problem. It only becomes a problem when both of you lack physical discipline around the opposite sex."
FlyKiteSmellAir,"banyak nasihat cakap hire maid. anon buat apa kerja 34k kalau maid pun tak mampu hire, terbangkan bini ke middle east sebulan sekali atau anon terbang balik Malaysia. Ldr kena rajin travel. duit banyak tapi tak maintain relationship. better resign atau cerai kalau malas maintain."
001Wealth,Long distance relationship comes with long term heartbreak..
Merchimaaa,"Long distance relationships show you what love actually needs trust, honest communication, and steady effort. When you can't reach for each other, every message and call becomes a choice to stay connected
It's hard sometimes, but choosing each other across miles proves the bond is built on commitment, not convenience."
vtpyra,"chat hear me out
i think couples who do long distance relationships, they're playing the ultimate love test. you're not just into their appearance, it's all about their essence. yeah, it's tough, but if you survive that, i truly think you found your perfect person"
